FIELD_Sample_ID,Other_ID,Source,DOI,TITLE,JOURNAL,AUTHOR,YEAR,District_Name,Deposit,Deposit_Type,Magma_Series,Deposit_Class,Contained_Cu,Company,Block_ID,Hole_ID,UTAS_Catalogue_ID,Project_Name,WGS84_Longitude,WGS84_Latitude,UTM_East,UTM_North,Elevation_m,DDH_Depth,Relationship to ore,Ore score,Epoch/Era,Ore Start,Ore Age err,Ore Age Source,Age (Ma),Age err,Age Source,Prestep calc,Distance_To_Deposit_Centre,UTM_Coord_System,Sampler,Country,Material,Survey_Method,Primary_Sample_Type,Sample_Type,Laboratory_Prep,Laboratory_Analytical,Sulfide_Present,Outcrop_Lith_Category,Rock_Type,Unit_name,Unit_Code,Alteration_Type,Vein_Types,Description,Int_or_volc,NoName,SiO2_pct,Al2O3_pct,Fe2O3_pct,FeO,FeO_pct,MgO_pct,CaO_pct,Na2O_pct,K2O_pct,TiO2_pct,P2O5_pct,MnO_pct,Cr2O3_pct,LOI_pct,H2O+,H2O-,H2O_pct,TOTAL C,TOTAL S,CO2_pct,Sum,Ag_ppm,Al_ppm,As_ppm,Au_ppm,B_ppm,Ba_ppm,Be_ppm,Bi_ppm,Ca_ppm,Cd_ppm,Ce_ppm,Cl_ppm,Co_ppm,Cr_ppm,CO2_1,Cs_ppm,Cu_ppm,Dy_ppm,Er_ppm,Eu_ppm,F_ppm,Fe_ppm,Ga_ppm,Gd_ppm,Ge_ppm,Hf_ppm,Hg_ppb,Ho_ppm,In_ppm,K_ppm,La_ppm,Li_ppm,Lu_ppm,Mg_ppm,Mn_ppm,Mo_ppm,Na_ppm,Nb_ppm,Nd_ppm,Ni_ppm,P_ppm,Pb_ppm,Pd_ppb,Pr_ppm,Pt_ppb,Rb_ppm,Re_ppb,Sb_ppm,Sc_ppm,Se_ppm,Si_ppm,Sm_ppm,Sn_ppm,Sr_ppm,Ta_ppm,Tb_ppm,Te_ppm,Th_ppm,Ti_ppm,Tl_ppm,Tm_ppm,U_ppm,V_ppm,W_ppm,Y_ppm,Yb_ppm,Zn_ppm,Zr_ppm,ND143_ND144,ND143_ND144 i,eNd,PB206_PB204,PB207_PB204,PB208_PB204,SR87_SR86,SR87_SR86 i,AI,Eu/Eu*,Eu/Eu*/Yb(N),Sm(N)/Yb(N),La(N)/Yb(N),Sr/Y,Sr/Zr,(Sr/Y)/Zr,Sr/Yb,(Sr/Y)/Yb,V/Sc,Ba/Y,Fertility
98-518,,Thesis,n/a,A COMPARATIVE STUDY BETWEEN THE GEOCHEMISTRY OF ORE-BEARING AND BARREN CALC-ALKALINE INTRUSIONS,PhD Thesis,Ballard,2001,Chuqui-El Abra,El Abra,Cu-Mo,CA,N/A,N/A,Codelco,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,3,Eocene,37.2,0.4,Campbell et al. 1984,42.3,0.2,Ballard thesis (ages are standard error),,,,Ballard_ 2001,Chile,,,,,,,,,,Los Picos,,,,,,,60.6,16.6,5.88,,5.290824,2.81,5.03,3.75,2.9,0.83,0.22,0.09,,,,,,,,,98.68,,,,,,686,,,,,53.5,,,,,4.1,,3.65,2.04,1.04,,,,4.08,,4.67,,0.71,,,25.5,,0.29,,,,,9.81,24.8,,,11,,6.29,,105,,,,,,4.8,,519,0.71,0.57,,14.31,,,,3.15,,,19.97,2.02,,167,,,,,,,,,39.406487,,,,,,,,,,,,0
98-519,,Thesis,n/a,A COMPARATIVE STUDY BETWEEN THE GEOCHEMISTRY OF ORE-BEARING AND BARREN CALC-ALKALINE INTRUSIONS,PhD Thesis,Ballard,2001,Chuqui-El Abra,El Abra,Cu-Mo,CA,N/A,N/A,Codelco,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,3,Eocene,37.2,0.4,Campbell et al. 1984,42.3,0.2,Ballard thesis,,,,Ballard_ 2001,Chile,,,,,,,,,,Los Picos,,,,,,,62.6,16.4,5.42,,4.876916,2.42,4.74,3.77,3.16,0.79,0.18,0.09,,,,,,,,,99.53,,,,,,629,,,,,50.6,,,,,3.47,,3.95,2.14,1.09,,,,4.23,,5.18,,0.75,,,23.8,,0.31,,,,,9.35,24.1,,,8,,6.02,,121,,,,,,4.78,,692,0.64,0.61,,13.98,,,,4.11,,,20.6,2.17,,208,,,,,,,,,39.602555,,,,,,,,,,,,0
98-520,,Thesis,n/a,A COMPARATIVE STUDY BETWEEN THE GEOCHEMISTRY OF ORE-BEARING AND BARREN CALC-ALKALINE INTRUSIONS,PhD Thesis,Ballard,2001,Chuqui-El Abra,El Abra,Cu-Mo,CA,N/A,N/A,Codelco,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,3,Eocene,37.2,0.4,Campbell et al. 1984,42.3,0.2,Ballard thesis,,,,Ballard_ 2001,Chile,,,,,,,,,,Los Picos,,,,,,,58.7,17,6.66,,5.992668,3.11,5.54,3.73,2.88,0.89,0.21,0.07,,,,,,,,,98.75,,,,,,750,,,,,68.3,,,,,7.87,,4.71,2.61,1.2,,,,5.05,,8.45,,0.93,,,32.6,,0.4,,,,,11.2,30.2,,,19,,7.89,,163,,,,,,5.92,,493,0.97,0.74,,30.11,,,,8.11,,,25.2,2.67,,285,,,,,,,,,39.252949,,,,,,,,,,,,0
98-522,,Thesis,n/a,A COMPARATIVE STUDY BETWEEN THE GEOCHEMISTRY OF ORE-BEARING AND BARREN CALC-ALKALINE INTRUSIONS,PhD Thesis,Ballard,2001,Chuqui-El Abra,El Abra,Cu-Mo,CA,N/A,N/A,Codelco,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,3,Eocene,37.2,0.4,Campbell et al. 1984,42.3,0.2,Ballard thesis,,,,Ballard_ 2001,Chile,,,,,,,,,,Los Picos,,,,,,,59.6,16.5,6.54,,5.884692,3.24,5.8,3.71,2.8,0.85,0.18,0.11,,,,,,,,,99.37,,,,,,621,,,,,51.2,,,,,4.86,,3.47,1.89,1.05,,,,3.85,,4.54,,0.68,,,23.8,,0.29,,,,,9.2,23.8,,,25,,6.04,,100,,,,,,4.65,,546,0.7,0.54,,14.11,,,,3.52,,,18.49,1.95,,157,,,,,,,,,38.842444,,,,,,,,,,,,0
98-524,,Thesis,n/a,A COMPARATIVE STUDY BETWEEN THE GEOCHEMISTRY OF ORE-BEARING AND BARREN CALC-ALKALINE INTRUSIONS,PhD Thesis,Ballard,2001,Chuqui-El Abra,El Abra,Cu-Mo,CA,N/A,N/A,Codelco,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,3,Eocene,37.2,0.4,Campbell et al. 1984,42.3,0.2,Ballard thesis,,,,Ballard_ 2001,Chile,,,,,,,,,,Los Picos,,,,,,,60.9,16.5,6.21,,5.587758,2.86,5.27,3.74,3.08,0.87,0.21,0.1,,,,,,,,,99.81,,,,,,646,,,,,51.3,,,,,4.81,,3.7,2,1.06,,,,4.2,,5.79,,0.73,,,24.3,,0.32,,,,,9.76,23.8,,,39,,6.04,,113,,,,,,4.76,,461,0.72,0.59,,16.73,,,,4.76,,,20.04,2.14,,210,,,,,,,,,39.732441,,,,,,,,,,,,0
98-525,,Thesis,n/a,A COMPARATIVE STUDY BETWEEN THE GEOCHEMISTRY OF ORE-BEARING AND BARREN CALC-ALKALINE INTRUSIONS,PhD Thesis,Ballard,2001,Chuqui-El Abra,El Abra,Cu-Mo,CA,N/A,N/A,Codelco,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,3,Eocene,37.2,0.4,Campbell et al. 1984,42.3,0.2,Ballard thesis,,,,Ballard_ 2001,Chile,,,,,,,,,,Los Picos,,,,,,,68.1,14.7,3.76,,3.383248,1.33,2.84,3.29,4.87,0.6,0.11,0.06,,,,,,,,,99.66,,,,,,562,,,,,78,,,,,8.17,,4.41,2.53,0.76,,,,4.87,,7.95,,0.87,,,36.1,,0.39,,,,,13.3,32.2,,,18,,8.75,,238,,,,,,6.04,,258,1.18,0.7,,57.02,,,,14.17,,,24.84,2.72,,279,,,,,,,,,50.283861,,,,,,,,,,,,0
98-526,,Thesis,n/a,A COMPARATIVE STUDY BETWEEN THE GEOCHEMISTRY OF ORE-BEARING AND BARREN CALC-ALKALINE INTRUSIONS,PhD Thesis,Ballard,2001,Chuqui-El Abra,El Abra,Cu-Mo,CA,N/A,N/A,Codelco,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,3,Eocene,37.2,0.4,Campbell et al. 1984,42.3,0.2,Ballard thesis,,,,Ballard_ 2001,Chile,,,,,,,,,,Los Picos,,,,,,,57.1,17.8,6.74,,6.064652,3.6,6.04,4.03,1.99,0.87,0.23,0.11,,,,,,,,,98.56,,,,,,541,,,,,37.5,,,,,1.97,,2.65,1.37,1.05,,,,3.16,,3.2,,0.5,,,17.8,,0.19,,,,,5.92,18.5,,,13,,4.49,,60,,,,,,3.71,,865,0.41,0.44,,5.58,,,,1.67,,,14.53,1.36,,126,,,,,,,,,35.696041,,,,,,,,,,,,0
98-527,,Thesis,n/a,A COMPARATIVE STUDY BETWEEN THE GEOCHEMISTRY OF ORE-BEARING AND BARREN CALC-ALKALINE INTRUSIONS,PhD Thesis,Ballard,2001,Chuqui-El Abra,El Abra,Cu-Mo,CA,N/A,N/A,Codelco,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,3,Eocene,37.2,0.4,Campbell et al. 1984,42.3,0.2,Ballard thesis,,,,Ballard_ 2001,Chile,,,,,,,,,,Los Picos,,,,,,,61.7,16.7,6.13,,5.515774,2.45,4.87,4,3.18,0.85,0.22,0.09,,,,,,,,,100.09,,,,,,650,,,,,59.5,,,,,6.58,,3.94,2.22,1.04,,,,4.42,,8.96,,0.75,,,27.7,,0.34,,,,,9.74,27.5,,,46,,6.96,,117,,,,,,5.25,,416,0.74,0.63,,21.61,,,,4.92,,,20.61,2.32,,360,,,,,,,,,38.827586,,,,,,,,,,,,0
98-540,,Thesis,n/a,A COMPARATIVE STUDY BETWEEN THE GEOCHEMISTRY OF ORE-BEARING AND BARREN CALC-ALKALINE INTRUSIONS,PhD Thesis,Ballard,2001,Chuqui-El Abra,El Abra,Cu-Mo,CA,N/A,N/A,Codelco,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,3,Eocene,37.2,0.4,Campbell et al. 1984,42.3,0.2,Ballard thesis,,,,Ballard_ 2001,Chile,,,,,,,,,,Los Picos,,,,,,,66.7,15.2,4.26,,3.833148,1.54,3.22,3.36,4.6,0.64,0.14,0.08,,,,,,,,,99.75,,,,,,701,,,,,63.8,,,,,6.64,,4.19,2.36,0.88,,,,4.49,,8.62,,0.81,,,29.5,,0.37,,,,,12.81,28.3,,,13,,7.43,,219,,,,,,5.37,,565,1,0.66,,28.35,,,,5.61,,,25.22,2.44,,359,,,,,,,,,48.27044,,,,,,,,,,,,0
98-549,,Thesis,n/a,A COMPARATIVE STUDY BETWEEN THE GEOCHEMISTRY OF ORE-BEARING AND BARREN CALC-ALKALINE INTRUSIONS,PhD Thesis,Ballard,2001,Chuqui-El Abra,El Abra,Cu-Mo,CA,N/A,N/A,Codelco,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,3,Eocene,37.2,0.4,Campbell et al. 1984,42.3,0.2,Ballard thesis,,,,Ballard_ 2001,Chile,,,,,,,,,,Los Picos,,,,,,,61.4,16.9,5.65,,5.08387,2.52,4.6,3.91,2.97,0.8,0.2,0.07,,,,,,,,,98.96,,,,,,624,,,,,48.8,,,,,4.59,,3.4,1.89,0.98,,,,3.81,,5.9,,0.67,,,23.3,,0.3,,,,,6.59,22.4,,,21,,5.65,,61,,,,,,4.51,,456,0.69,0.54,,17.03,,,,4.54,,,13.89,1.95,,162,,,,,,,,,39.214286,,,,,,,,,,,,0
