Volcano Number,Volcano Name,Country,Volcanic Region,Volcanic Province,Volcano Landform,Primary Volcano Type,Activity Evidence,Last Known Eruption,Latitude,Longitude,Elevation (m),Dominant Rock Type,Tectonic Setting
210801,South Harghita Mountains,Romania,European Volcanic Regions,Central European Province,Minor,Lava dome(s),,,46.13,25.88,1289,,Intraplate / Continental crust (>25 km)
210802,Persani Mountains,Romania,European Volcanic Regions,Central European Province,Cluster,Volcanic field,,,45.982,25.339,623,,Intraplate / Continental crust (>25 km)
210803,Apuseni Mountains,Romania,European Volcanic Regions,Central European Province,Cluster,Volcanic field,,,45.93,22.88,353,,Intraplate / Continental crust (>25 km)
210804,Lucaret Basalts,Romania,European Volcanic Regions,Central European Province,Cluster,Fissure vent,,,45.826,21.69,190,,Intraplate / Continental crust (>25 km)
210805,Bakony-Balaton Highland,Hungary,European Volcanic Regions,Central European Province,Cluster,Volcanic field,,,46.92,17.63,600,,Intraplate / Continental crust (>25 km)
210806,Little Hungarian Plain,Hungary,European Volcanic Regions,Central European Province,Cluster,Volcanic field,,,47.192,17.2,433,,Intraplate / Continental crust (>25 km)
210807,Nograd-Southern Slovakia,Hungary-Slovakia,European Volcanic Regions,Central European Province,Cluster,Volcanic field,,,48.159,19.79,720,,Intraplate / Continental crust (>25 km)
210809,Central Slovakia,Slovakia,European Volcanic Regions,Central European Province,Cluster,Volcanic field,,,48.403,18.877,1009,,Intraplate / Continental crust (>25 km)
210810,Bruntal Volcanic Field,Czechia,European Volcanic Regions,Central European Province,Cluster,Volcanic field,,,49.88,17.475,780,,Intraplate / Continental crust (>25 km)
210811,Cheb Basin,Czechia,European Volcanic Regions,Central European Province,Cluster,Volcanic field,,,49.97,12.392,585,,Intraplate / Continental crust (>25 km)
210812,East Eifel Volcanic Field,Germany,European Volcanic Regions,Central European Province,Cluster,Maar(s),,,50.4,7.325,588,,Rift zone / Continental crust (>25 km)
210813,Rodderberg,Germany,European Volcanic Regions,Central European Province,Minor,Pyroclastic cone,,,50.62,7.2,150,,Rift zone / Continental crust (>25 km)
210814,Cofrentes,Spain,European Volcanic Regions,Western European Province,Cluster,Volcanic field,,,39.235,-1.064,514,,Unknown
210816,"Columbretes, Islas",Spain,European Volcanic Regions,Western European Province,Cluster,Volcanic field,,,39.896,0.686,33,,Unknown
211003,Vulsini,Italy,European Volcanic Regions,Italian Peninsula Volcanic Provinces,Caldera,Caldera,,,42.6,11.93,800,Trachyte / Trachydacite,Subduction zone / Continental crust (>25 km)
211800,Amiata,Italy,European Volcanic Regions,Italian Peninsula Volcanic Provinces,Minor,Lava dome(s),,,42.9,11.63,1738,,Subduction zone / Continental crust (>25 km)
211801,Radicofani,Italy,European Volcanic Regions,Italian Peninsula Volcanic Provinces,Unknown,Volcanic remnant,,,42.899,11.769,891,,Subduction zone / Continental crust (>25 km)
211802,Torre Alfina,Italy,European Volcanic Regions,Italian Peninsula Volcanic Provinces,Unknown,Volcanic remnant,,,42.753,11.943,575,,Subduction zone / Continental crust (>25 km)
211803,San Venanzo,Italy,European Volcanic Regions,Italian Peninsula Volcanic Provinces,Minor,Maar,,,42.862,12.266,466,,Subduction zone / Continental crust (>25 km)
211804,Acquasparta,Italy,European Volcanic Regions,Italian Peninsula Volcanic Provinces,Cluster,Volcanic field,,,42.65,12.3,0,,Subduction zone / Continental crust (>25 km)
211805,Polino,Italy,European Volcanic Regions,Italian Peninsula Volcanic Provinces,Minor,Explosion crater(s),,,42.57,12.82,0,,Subduction zone / Continental crust (>25 km)
211806,Cupaello,Italy,European Volcanic Regions,Italian Peninsula Volcanic Provinces,Minor,Pyroclastic cone,,,42.43,12.93,650,,Subduction zone / Continental crust (>25 km)
211807,Oricola-Carsoli,Italy,European Volcanic Regions,Italian Peninsula Volcanic Provinces,Cluster,Pyroclastic cone(s),,,42.15,13.08,0,,Subduction zone / Continental crust (>25 km)
211808,Vico-Cimino Complex,Italy,European Volcanic Regions,Italian Peninsula Volcanic Provinces,Composite,Stratovolcano(es),,,42.367,12.188,1053,,Subduction zone / Continental crust (>25 km)
211809,Sabatini Complex,Italy,European Volcanic Regions,Italian Peninsula Volcanic Provinces,Composite,Stratovolcano(es),,,42.17,12.22,612,,Unknown
211810,"Ernici, Monti",Italy,European Volcanic Regions,Italian Peninsula Volcanic Provinces,Cluster,Volcanic field,,,41.58,13.33,0,,Subduction zone / Continental crust (>25 km)
211811,Roccamonfina,Italy,European Volcanic Regions,Italian Peninsula Volcanic Provinces,Composite,Stratovolcano,,,41.3,13.93,1066,,Subduction zone / Continental crust (>25 km)
211812,"Vulture, Monte",Italy,European Volcanic Regions,Italian Peninsula Volcanic Provinces,Composite,Stratovolcano,,,40.92,15.67,1330,,Subduction zone / Continental crust (>25 km)
211813,Ventotene,Italy,European Volcanic Regions,Italian Peninsula Volcanic Provinces,Composite,Stratovolcano(es),,,40.8,13.42,139,,Subduction zone / Continental crust (>25 km)
211814,Pontine Islands,Italy,European Volcanic Regions,Italian Peninsula Volcanic Provinces,Minor,Lava dome(s),,,40.9,12.95,283,,Subduction zone / Continental crust (>25 km)
211815,Logudoro,Italy,European Volcanic Regions,Western European Province,Cluster,Volcanic field,,,40.58,8.67,0,,Unknown
211816,Salina,Italy,European Volcanic Regions,Aeolian Volcanic Arc,Composite,Stratovolcano(es),,,38.58,14.85,962,,Subduction zone / Continental crust (>25 km)
211817,Filicudi,Italy,European Volcanic Regions,Aeolian Volcanic Arc,Composite,Stratovolcano(es),,,38.58,14.55,773,,Subduction zone / Continental crust (>25 km)
211818,Alicudi,Italy,European Volcanic Regions,Aeolian Volcanic Arc,Composite,Stratovolcano,,,38.55,14.33,675,,Subduction zone / Continental crust (>25 km)
211819,Ustica,Italy,European Volcanic Regions,Sicily Volcanic Province,Composite,Stratovolcano(es),,,38.72,13.18,248,,Subduction zone / Continental crust (>25 km)
211820,Iblei,Italy,European Volcanic Regions,Sicily Volcanic Province,Shield,Shield?,,,37.117,14.821,825,,Subduction zone / Continental crust (>25 km)
211821,Linosa,Italy,European Volcanic Regions,Sicily Volcanic Province,Minor,Pyroclastic cone(s),,,35.87,12.87,195,,Rift zone / Continental crust (>25 km)
211822,Gaeta Bay Volcanic Field,Italy,European Volcanic Regions,Italian Peninsula Volcanic Provinces,Cluster,Volcanic field,,,40.978,13.663,0,,Subduction zone / Continental crust (>25 km)
212051,Yali,Greece,European Volcanic Regions,Hellenic Volcanic Arc,Composite,Lava dome(s),,,36.6666,27.1224,180,Rhyolite,Subduction zone / Continental crust (>25 km)
212800,Sporades,Greece,European Volcanic Regions,Western Anatolian Volcanic Province,Minor,Lava dome,,,39.5,24.18,0,,Subduction zone / Continental crust (>25 km)
212801,Volos-Atalanti,Greece,European Volcanic Regions,Western Anatolian Volcanic Province,Cluster,Volcanic field,,,39.033,22.8,900,,Subduction zone / Continental crust (>25 km)
212802,Aegina,Greece,European Volcanic Regions,Hellenic Volcanic Arc,Cluster,Volcanic field,,,37.75,23.5,530,,Subduction zone / Continental crust (>25 km)
212803,Poros,Greece,European Volcanic Regions,Hellenic Volcanic Arc,Cluster,Fissure vent,,,37.48,23.43,80,,Subduction zone / Continental crust (>25 km)
212804,Antiparos,Greece,European Volcanic Regions,Hellenic Volcanic Arc,Minor,Pyroclastic cone(s),,,36.995,25.046,282,,Subduction zone / Continental crust (>25 km)
212805,Kos,Greece,European Volcanic Regions,Hellenic Volcanic Arc,Caldera,Caldera(s),,,36.852,27.251,430,,Subduction zone / Continental crust (>25 km)
213001,Karapinar Monogenetic Field,Turkiye,European Volcanic Regions,Western Anatolian Volcanic Province,Cluster,Volcanic field,,,37.6407,33.5901,1302,Trachyandesite / Basaltic Trachyandesite,Intraplate / Continental crust (>25 km)
213003,Derinkuyu Volcanic Complex,Turkiye,European Volcanic Regions,Western Anatolian Volcanic Province,Cluster,Lava dome,,,38.35,34.5567,2143,Rhyolite,Intraplate / Continental crust (>25 km)
213004,Nevsehir-Acigol Volcanic Complex,Turkiye,European Volcanic Regions,Western Anatolian Volcanic Province,Cluster,Complex,,,38.537,34.621,1683,Rhyolite,Intraplate / Continental crust (>25 km)
213005,Egrikuyu Monogenetic Field,Turkiye,European Volcanic Regions,Western Anatolian Volcanic Province,Cluster,Volcanic field,,,37.892,34.1113,1100,,Intraplate / Continental crust (>25 km)
213021,Suphan Dagi,Turkiye,Arabia-Central Asia Volcanic Regions,Central Anatolian Volcanic Province,Composite,Stratovolcano,,,38.931,42.833,4033,Trachyandesite / Basaltic Trachyandesite,Intraplate / Continental crust (>25 km)
213022,Girekol,Turkiye,Arabia-Central Asia Volcanic Regions,Central Anatolian Volcanic Province,Shield,Shield,,,39.104,43.426,2145,Andesite / Basaltic Andesite,Intraplate / Continental crust (>25 km)
213023,Etrusk,Turkiye,Arabia-Central Asia Volcanic Regions,Central Anatolian Volcanic Province,Composite,Stratovolcano,,,39.032,43.66,3100,,
213060,Karasu Rift,Turkiye,Arabia-Central Asia Volcanic Regions,Northern Arabia Volcanic Province,Cluster,Volcanic field,,,36.767,36.6,486,,Rift zone / Intermediate crust (15-25 km)
213061,Ceyhan-Osmaniye,Turkiye,European Volcanic Regions,Western Anatolian Volcanic Province,Cluster,Volcanic field,,,37,36.083,424,,Unknown
213801,Golcuk,Turkiye,European Volcanic Regions,Western Anatolian Volcanic Province,Caldera,Caldera,,,37.72,30.492,0,,Intraplate / Continental crust (>25 km)
213803,Arpacay,Turkiye,Arabia-Central Asia Volcanic Regions,Caucasus Volcanic Province,Cluster,Volcanic field,,,41,43.467,0,,Intraplate / Continental crust (>25 km)
213804,Kisir Dagi,Turkiye,Arabia-Central Asia Volcanic Regions,Caucasus Volcanic Province,Unknown,Unknown,,,40.97,43.07,3192,,Intraplate / Continental crust (>25 km)
214040,Keli Highland,Georgia,Arabia-Central Asia Volcanic Regions,Caucasus Volcanic Province,Cluster,Pyroclastic cone(s),,,42.45,44.25,3750,Andesite / Basaltic Andesite,Intraplate / Continental crust (>25 km)
214802,Akhuryan Valley,Armenia,Arabia-Central Asia Volcanic Regions,Caucasus Volcanic Province,Cluster,Volcanic field,,,41.067,43.75,2251,,Intraplate / Continental crust (>25 km)
214803,Shamiram Plateau,Armenia,Arabia-Central Asia Volcanic Regions,Caucasus Volcanic Province,Cluster,Volcanic field,,,40.2,44.15,3300,,Intraplate / Continental crust (>25 km)
214804,Unnamed,Armenia,Arabia-Central Asia Volcanic Regions,Caucasus Volcanic Province,Cluster,Volcanic field,,,40.058,45.608,3047,,Intraplate / Continental crust (>25 km)
214805,Unnamed,Armenia,Arabia-Central Asia Volcanic Regions,Caucasus Volcanic Province,Cluster,Volcanic field,,,39.617,46.1,2400,,Intraplate / Continental crust (>25 km)
214808,Dzau,Georgia,Arabia-Central Asia Volcanic Regions,Caucasus Volcanic Province,Cluster,Fissure vent,,,42.404,44.004,1904,,
221109,Mabda,Eritrea,East African Volcanic Regions,Afar Rift Zone,Minor,Lava dome,,,13.508,41.779,1554,Rhyolite,Rift zone / Intermediate crust (15-25 km)
221121,Borawli,Ethiopia,East African Volcanic Regions,Afar Rift Zone,Minor,Lava dome(s),,,11.63,41.45,875,Rhyolite,Rift zone / Intermediate crust (15-25 km)
221224,Boku,Ethiopia,East African Volcanic Regions,Main Ethiopian Rift Zone,Caldera,Caldera,,,8.55,39.275,1625,,Rift zone / Continental crust (>25 km)
221292,Tepi,Ethiopia,East African Volcanic Regions,Western Ethiopia Plateau Volcano Group,Shield,Shield,,,7.424,35.43,2728,Basalt / Picro-Basalt,Intraplate / Continental crust (>25 km)
221293,Hobitcha Caldera,Ethiopia,East African Volcanic Regions,Main Ethiopian Rift Zone,Caldera,Caldera,,,6.864,37.847,2156,Basalt / Picro-Basalt,Intraplate / Continental crust (>25 km)
221300,Chericha,Ethiopia,East African Volcanic Regions,Main Ethiopian Rift Zone,Composite,Stratovolcano,,,6.712,38.085,1636,Rhyolite,Rift zone / Continental crust (>25 km)
221310,Tosa Sucha,Ethiopia,East African Volcanic Regions,Main Ethiopian Rift Zone,Cluster,Pyroclastic cone(s),,,5.967,37.629,1650,Basalt / Picro-Basalt,Rift zone / Continental crust (>25 km)
221335,Dilo-Dukana Volcanic Field,Ethiopia-Kenya,East African Volcanic Regions,Kenyan Rift Zone,Cluster,Volcanic field,,,4.063,37.488,1111,Basalt / Picro-Basalt,Rift zone / Intermediate crust (15-25 km)
221800,Oyma,Ethiopia,East African Volcanic Regions,Afar Rift Zone,Composite,Stratovolcano,,,12.88,41.62,1041,,Rift zone / Intermediate crust (15-25 km)
221801,Didolli,Ethiopia,East African Volcanic Regions,Afar Rift Zone,Caldera,Caldera,,,12.7,41.58,1191,,Rift zone / Intermediate crust (15-25 km)
221802,Katahelu,Ethiopia,East African Volcanic Regions,Afar Rift Zone,Minor,Cone,,,12.551,41.503,1126,,Rift zone / Intermediate crust (15-25 km)
221803,Ali Mela,Ethiopia,East African Volcanic Regions,Afar Rift Zone,Minor,Cone,,,12.718,41.396,1037,,Rift zone / Intermediate crust (15-25 km)
221804,Dawa Ale-Quarry,Ethiopia,East African Volcanic Regions,Afar Rift Zone,Composite,Stratovolcano,,,12.75,41,0,,Rift zone / Intermediate crust (15-25 km)
221805,Badi,Ethiopia,East African Volcanic Regions,Afar Rift Zone,Composite,Stratovolcano,,,12.387,40.366,1321,,Rift zone / Intermediate crust (15-25 km)
221806,Gad Elu,Ethiopia,East African Volcanic Regions,Afar Rift Zone,Composite,Stratovolcano,,,12.408,41.06,1548,,Rift zone / Intermediate crust (15-25 km)
221807,Ela,Ethiopia,East African Volcanic Regions,Afar Rift Zone,Composite,Stratovolcano,,,12.519,41.19,934,,Rift zone / Intermediate crust (15-25 km)
221808,Asgura,Ethiopia,East African Volcanic Regions,Afar Rift Zone,Composite,Stratovolcano,,,11.75,40.9,0,,Rift zone / Intermediate crust (15-25 km)
221809,Finini,Ethiopia,East African Volcanic Regions,Afar Rift Zone,Composite,Stratovolcano,,,11.98,41.35,0,,Rift zone / Intermediate crust (15-25 km)
221810,Dalaha'ale,Ethiopia,East African Volcanic Regions,Afar Rift Zone,Composite,Stratovolcano,,,12.274,42.044,881,,Rift zone / Intermediate crust (15-25 km)
221811,Data Gabalti,Ethiopia,East African Volcanic Regions,Afar Rift Zone,Composite,Stratovolcano,,,12.197,42.135,583,,Rift zone / Intermediate crust (15-25 km)
221812,Egersuwa,Ethiopia,East African Volcanic Regions,Afar Rift Zone,Minor,Lava dome(s),,,12.45,42.166,582,,Rift zone / Intermediate crust (15-25 km)
221816,Zikwala,Ethiopia,East African Volcanic Regions,Main Ethiopian Rift Zone,Composite,Stratovolcano,,,8.53,38.85,2989,,Intraplate / Continental crust (>25 km)
221817,Ch'Ilalo,Ethiopia,East African Volcanic Regions,Main Ethiopian Rift Zone,Composite,Stratovolcano,,,7.92,39.27,4005,,Intraplate / Continental crust (>25 km)
221818,Gademota Caldera,Ethiopia,East African Volcanic Regions,Main Ethiopian Rift Zone,Caldera,Caldera,,,7.88,38.6,2090,,Intraplate / Continental crust (>25 km)
221819,Duguna,Ethiopia,East African Volcanic Regions,Main Ethiopian Rift Zone,Composite,Stratovolcano,,,6.95,38.07,2205,,Intraplate / Continental crust (>25 km)
221822,Chew Bahir,Ethiopia,East African Volcanic Regions,Kenyan Rift Zone,Minor,Pyroclastic cone(s),,,4.47,36.87,600,,Rift zone / Intermediate crust (15-25 km)
221824,Undurer,Ethiopia,East African Volcanic Regions,Afar Rift Zone,Composite,Stratovolcano,,,12.171,41.396,1242,,Rift zone / Intermediate crust (15-25 km)
221825,Babba'Olou,Djibouti,East African Volcanic Regions,Afar Rift Zone,Composite,Stratovolcano,,,11.55,42.133,1301,,Rift zone / Intermediate crust (15-25 km)
222150,Kilimanjaro,Tanzania,East African Volcanic Regions,Kenyan Rift Zone,Composite,Stratovolcano,,,-3.07,37.35,5881,Phonolite,Rift zone / Continental crust (>25 km)
222162,Usangu Scarp Basalt,Tanzania,East African Volcanic Regions,Tanganyika-Rukwa-Malawi Rift Zone,Minor,Pyroclastic cone,,,-8.624,33.583,1690,Basalt / Picro-Basalt,Rift zone / Continental crust (>25 km)
222163,SW Usangu Basin,Tanzania,East African Volcanic Regions,Tanganyika-Rukwa-Malawi Rift Zone,Cluster,Lava dome(s),,,-8.75,33.8,2179,Phonolite,Rift zone / Continental crust (>25 km)
222165,Izumbwe-Mpoli,Tanzania,East African Volcanic Regions,Tanganyika-Rukwa-Malawi Rift Zone,Minor,Pyroclastic cone(s),,,-8.976,33.38,1568,Foidite,Rift zone / Continental crust (>25 km)
222800,Kulal,Kenya,East African Volcanic Regions,Kenyan Rift Zone,Shield,Shield,,,2.75,36.93,2285,,Rift zone / Continental crust (>25 km)
222801,Asie,Kenya,East African Volcanic Regions,Kenyan Rift Zone,Shield,Shield,,,2.964,37.104,1056,,Rift zone / Continental crust (>25 km)
222802,Huri Hills,Kenya,East African Volcanic Regions,Kenyan Rift Zone,Shield,Shield,,,3.5,37.75,1300,,Rift zone / Continental crust (>25 km)
222803,Bogoria,Kenya,East African Volcanic Regions,Kenyan Rift Zone,Shield,Shield,,,0.25,36.08,1100,,Rift zone / Continental crust (>25 km)
222804,Kilombe Caldera,Kenya,East African Volcanic Regions,Kenyan Rift Zone,Caldera,Caldera,,,-0.08,35.83,2550,,Rift zone / Continental crust (>25 km)
222805,"Nyokie, Ol Doinyo",Kenya,East African Volcanic Regions,Kenyan Rift Zone,Minor,Tuff cone,,,-1.8,36.38,1169,,Rift zone / Continental crust (>25 km)
222806,Gelai,Tanzania,East African Volcanic Regions,Kenyan Rift Zone,Shield,Shield,,,-2.6,36.1,2942,,Unknown
222807,Ketumbeine,Tanzania,East African Volcanic Regions,Kenyan Rift Zone,Shield,Shield,,,-2.88,36.22,2942,,Rift zone / Continental crust (>25 km)
222808,Kerimasi,Tanzania,East African Volcanic Regions,Kenyan Rift Zone,Composite,Stratovolcano,,,-2.87,35.95,2600,,Unknown
222809,Loolmalasin,Tanzania,East African Volcanic Regions,Kenyan Rift Zone,Unknown,Unknown,,,-3.052,35.817,3627,,Rift zone / Continental crust (>25 km)
222810,Sadiman,Tanzania,East African Volcanic Regions,Kenyan Rift Zone,Composite,Stratovolcano,,,-3.18,35.42,2865,,Unknown
222811,Ngorongoro,Tanzania,East African Volcanic Regions,Kenyan Rift Zone,Caldera,Caldera,,,-3.17,35.57,2376,,Unknown
222812,Sultan Hamud-Simba,Kenya,East African Volcanic Regions,Kenyan Rift Zone,Cluster,Volcanic field,,,-2.12,37.4,0,,Rift zone / Continental crust (>25 km)
222813,Burko,Tanzania,East African Volcanic Regions,Kenyan Rift Zone,Composite,Stratovolcano,,,-3.3,36.22,2136,,Unknown
222814,Kwaraha,Tanzania,East African Volcanic Regions,Kenyan Rift Zone,Composite,Stratovolcano,,,-4.23,35.82,2415,,Rift zone / Continental crust (>25 km)
222828,Porr,Kenya,East African Volcanic Regions,Kenyan Rift Zone,Minor,Pyroclastic cone,,,2.9,36.55,0,,Rift zone / Continental crust (>25 km)
222829,Embagai,Tanzania,East African Volcanic Regions,Kenyan Rift Zone,Caldera,Caldera,,,-2.92,35.83,3220,,Unknown
222830,Olmoti,Tanzania,East African Volcanic Regions,Kenyan Rift Zone,Caldera,Caldera,,,-3,35.65,3099,,Unknown
222831,Hanang,Tanzania,East African Volcanic Regions,Kenyan Rift Zone,Composite,Stratovolcano,,,-4.43,35.4,3418,,Unknown
223080,Tshibinda,DR Congo,East African Volcanic Regions,Albertine Rift Zone,Cluster,Pyroclastic cone(s),,,-2.32,28.75,1460,Basalt / Picro-Basalt,Rift zone / Continental crust (>25 km)
223800,Mikeno,DR Congo,East African Volcanic Regions,Albertine Rift Zone,Composite,Stratovolcano,,,-1.463,29.419,4387,,Rift zone / Continental crust (>25 km)
223801,Sabinyo,Uganda-Rwanda,East African Volcanic Regions,Albertine Rift Zone,Composite,Stratovolcano,,,-1.388,29.592,3605,,Unknown
224001,Sao Tome,Sao Tome and Principe,Northern Africa Volcanic Regions,Cameroon Hotspot Volcano Group,Shield,Shield,,,0.2,6.58,2024,Basalt / Picro-Basalt,Intraplate / Oceanic crust (< 15 km)
224012,Kumba Volcanic Field,Cameroon,Northern Africa Volcanic Regions,Cameroon Hotspot Volcano Group,Cluster,Volcanic field,,,4.608,9.292,600,,Intraplate / Continental crust (>25 km)
224020,Manengouba,Cameroon,Northern Africa Volcanic Regions,Cameroon Hotspot Volcano Group,Composite,Stratovolcano,,,5.03,9.83,2411,Basalt / Picro-Basalt,Intraplate / Continental crust (>25 km)
224040,Ngaoundere Plateau,Cameroon,Northern Africa Volcanic Regions,Cameroon Hotspot Volcano Group,Cluster,Volcanic field,,,7.25,13.67,1230,Trachybasalt / Tephrite Basanite,Intraplate / Continental crust (>25 km)
224050,Biu Plateau,Nigeria,Northern Africa Volcanic Regions,Cameroon Hotspot Volcano Group,Cluster,Volcanic field,,,10.75,12.088,930,Basalt / Picro-Basalt,Intraplate / Continental crust (>25 km)
