sample,group,SIO2,MGO,ZR,AL2O3,A,B,C,D,F,G,I,J,K,L,M,N,O,P,Q,R,S,T,U,V,W,X,Y,Z
1,scafell,,13,3,28,31,27,44,33,45,39,31,34,38,31,43,35,47,38,44,36,35,30,39,36,36,45,26,38
2,scafell,,8,10,50,50,31,42,31,44,45,38,33,39,34,30,38,28,37,38,41,33,39,26,45,50,34,44,33
3,scafell,,6,9,32,42,33,25,50,32,49,44,39,42,43,45,47,37,33,31,50,31,49,50,25,27,47,33,37
4,scafell,,14,9,46,25,42,34,45,34,45,37,27,35,35,41,28,28,34,49,27,49,33,28,36,47,47,32,41
5,aluto,72,11,5,34,42,48,27,37,27,43,45,32,42,45,34,34,25,26,30,44,50,46,27,28,27,30,25,33
6,aluto,69,8,13,33,43,,40,33,29,36,32,28,32,30,28,27,38,28,30,44,25,38,31,35,47,37,35,31
7,aluto,74,6,6,48,35,25,35,33,35,42,44,29,43,42,44,28,44,37,49,45,36,37,28,43,44,41,34,26
8,aluto,71,11,5,44,36,50,32,46,45,40,30,46,40,35,49,30,26,43,47,37,37,26,43,26,26,47,31,30
9,aluto,73,11,4,36,26,36,26,27,31,50,39,41,31,27,46,39,30,25,37,38,49,43,42,48,28,26,33,37
10,aluto,63,14,13,37,31,31,34,38,33,27,34,41,43,27,30,27,36,50,42,35,37,36,38,49,48,44,28,31
11,aluto,59,13,5,26,46,28,26,30,25,48,31,38,37,25,34,31,33,49,47,47,25,35,40,38,34,41,50,36
